twothousand.OBJECTID,twothousand.Tree_of_He,twothousand.N_FID,twothousand.BlockName,twothousand.Name,twothousand.MgmtType,twothousand.DeerFence,twothousand.DF_details,twothousand.Planting,twothousand.P_details,twothousand.Herbicide,twothousand.H_details,twothousand.HarvYear,twothousand.Shape_Length,twothousand.Shape_Area,zone_stats_table_two.OBJECTID,zone_stats_table_two.OBJECTID_1,zone_stats_table_two.COUNT,zone_stats_table_two.AREA,zone_stats_table_two.MIN,zone_stats_table_two.MAX,zone_stats_table_two.RANGE,zone_stats_table_two.MEAN,zone_stats_table_two.STD,zone_stats_table_two.SUM,zone_stats_table_two.MEDIAN,zone_stats_table_two.PCT90
1,N,0,Leading Ridge,"Leading Ridge (Watershed) Salvage, LRRESEARCH, 14, 12",Salvage,N, ,N, ,N, ,2005,1517.802821,93454.55191,1,1,103,92700,22.35842133,23.35870552,1.000284195,22.72002635,0.200678409,2340.162714,22.64968872,22.98708878
2,Y,1,Shaver Creek,"Tropical Storm Ivan Salvage, SHCRK173, 143",Salvage,N, ,N, ,N, ,2004,318.5428904,3541.710691,2,2,4,3600,23.23001671,23.27195549,0.041938782,23.2571578,0.016650454,93.02863121,23.26332951,23.27123108
3,Y,2,Shaver Creek,"Tropical Storm Ivan Salvage, SHCRK173, 143",Salvage,N, ,N, ,N, ,2004,395.4615315,5902.992881,3,3,6,5400,23.25967598,23.40062714,0.140951157,23.34005674,0.045624195,140.0403404,23.34745407,23.38460445
4,N,8,Gilford Duff Farm,"McDillSimmons Biomass Research Cut Site 2 northern site, GDF12, GDF22, small parts of GDF70 & others",Thinning,N, ,N, ,N, ,2008,1616.211611,122520.8698,4,4,137,123300,22.50284958,23.61812973,1.115280151,22.79630008,0.28112895,3123.093111,22.67211914,23.18453789
5,N,9,Standing Stone West,"Thinning I, SSW09",Thinning,N, ,N, ,N, ,2002,656.6844608,27801.26756,5,5,32,28800,22.5377903,23.72179604,1.184005737,22.86866474,0.299315592,731.7972717,22.78019619,23.30846901
6,N,12,Standing Stone East,"Caddy Hill Thinning, SSE56, 57, 58, 59",Thinning,Y,2006-2009 / unknown deer fence length / unknown acres,N, ,Y, ,2006,2583.67714,97649.45885,6,6,106,95400,22.68203545,24.8957901,2.213754654,23.07743632,0.420836812,2446.20825,22.94146919,23.5957098
7,Y,13,Snake Hill,"Red Pine Thinning  Five Point Thinning, SNKHLL36",Thinning,N, ,N, ,N, ,2002,873.2416406,11151.91169,7,7,13,11700,22.89821243,23.49706841,0.598855972,23.10210008,0.165096868,300.327301,23.07920456,23.28714104
8,Y,14,Snake Hill,"Red Pine Thinning  Five Point Thinning, SNKHLL08",Thinning,N, ,N, ,N, ,2002,1056.866863,31682.67851,8,8,35,31500,22.67982483,23.6154747,0.935649872,22.97121528,0.217317819,803.9925346,22.90567398,23.23618279
9,Y,15,Snake Hill,"Five Point Thinning, SNKHLL10",Thinning,N, ,N, ,N, ,2002,736.5159899,16143.63704,9,9,19,17100,22.65492439,23.25021744,0.595293045,22.92301168,0.167942069,435.5372219,22.91570282,23.16154137
10,Y,16,Snake Hill,"Five Point Thinning, SNKHLL11",Thinning,N, ,N, ,N, ,2002,734.568167,23949.77813,10,10,24,21600,23.03213501,23.84445572,0.812320709,23.35798971,0.197128658,560.591753,23.33181858,23.56326599
11,Y,17,Shaver Creek,"Black Eye Thinning, SHCRK153, 173",Thinning,N, ,N, ,N, ,2004,1123.526513,43885.3867,11,11,50,45000,22.88586426,23.46992683,0.584062576,23.1118124,0.154942728,1155.59062,23.08166599,23.36627026
12,N,18,Leading Ridge,"ER 1 Thinning, LR01",Thinning,N, ,N, ,N, ,2002,636.2256048,18681.58379,12,12,22,19800,22.86129379,24.75908852,1.897794724,23.17527858,0.433772986,509.8561287,23.00139618,23.65692101
13,N,19,Leading Ridge,"LR7 Thinning, LR07",Thinning,N, ,N, ,N, ,2002,528.2669514,10521.63615,13,13,11,9900,23.00991058,23.24779701,0.237886429,23.1662745,0.067170892,254.8290195,23.18104744,23.23297882
14,N,21,Masseyburg,"Research Thinning, MAS168B",Thinning,N, ,N, ,N, ,2002,307.0303401,4835.888702,14,14,5,4500,23.9629097,24.39948082,0.436571121,24.15669289,0.190048411,120.7834644,24.05860519,24.38874245
15,N,22,Masseyburg,"Research Thinning, MAS168A",Thinning,N, ,N, ,N, ,2002,775.2735588,14801.28523,15,15,16,14400,24.00954819,28.06064034,4.051092148,25.27992928,1.25333327,404.4788685,24.72478104,27.0237484
16,N,23,Masseyburg,"Research Thinning, MAS167B",Thinning,N, ,N, ,N, ,2002,310.1613781,4902.883968,16,16,6,5400,23.3937397,23.67742538,0.283685684,23.53599326,0.12089581,141.2159595,23.53309345,23.67618465
17,N,24,Masseyburg,"Research Thinning, MAS167A",Thinning,N, ,N, ,N, ,2002,641.8167412,13013.25976,17,17,15,13500,23.3714962,26.4612484,3.089752197,24.31887461,0.94621991,364.7831192,23.82771683,25.73265495
18,N,28,Standing Stone East,"Thinning, SSE35",Thinning,N, ,N, ,N, ,2008,2561.633941,102224.4222,18,18,113,101700,22.45809937,23.3882885,0.930189133,22.86418837,0.216187865,2583.653286,22.83109283,23.20188217
19,N,32,Monroe Furnace,"Rybacki White Pine Seed Tree FR (Seed Tree overstory removal) Rybacki Tract, MNFN101",Seed Tree,Y,2000-2004 / 3600' electric deer fence / 19.1 acres,N, ,N, ,2001,1108.174691,77212.82363,19,19,85,76500,22.34343529,22.78128433,0.437849045,22.5230042,0.118272246,1914.455357,22.49044037,22.72319565
20,N,33,Shaver Creek,"Shaver Creek Uneven Age Management, SHCRK93, 95",Single Tree,Y,2000-2004 / 3800' electric deer fence / 16.77 acres,N, ,N, ,2000,1147.864809,67860.79453,20,20,76,68400,22.5850811,23.38111687,0.796035767,22.9042446,0.217456335,1740.722589,22.90932178,23.1844635
21,N,36,Camps,"Lake Rd SW (Scare Pond Rd), CPS16, 11, 08",Shelterwood 1,Y,2000-2004 / 2600' electric deer fence,N, ,N, ,2000,794.9400667,30330.35918,21,21,35,31500,22.69454575,23.01475143,0.320205688,22.82232873,0.075449833,798.7815056,22.80629921,22.9268837
22,N,37,Gilford Duff Farm,"Yellow Hickory SW 1, GDF2",Shelterwood 1,Y,2003-2010 / 3740' woven wire deer fence / 11.07 acres,N, ,Y,"(1) no date; Unspecificed herbicide (noted in ""Final Yellow Hickory SW Sale Expenses and Revenues"") / (2 & 3) 2008 & 2009; Fenceline herbicide from ATV to control vegetation and make future fence removal easier",2002,1140.540069,44812.2479,22,22,51,45900,22.57013893,23.14601326,0.575874329,22.80813528,0.135862601,1163.214899,22.78644943,22.96999931
23,N,38,Shaver Creek,"Grouse Clearcut, SHCRK114",Clearcut,Y,2002-2006 / 5947' electric deer fence / 22.33 acres,N, ,N, ,2002,1812.72995,90366.57088,23,23,101,90900,22.82127571,23.54882813,0.727552414,23.04116636,0.146719323,2327.157803,23.0097599,23.24498177
24,N,40,Masseyburg,"Virginia and table mountain pine clearcut, MAS109",Clearcut,Y,2002-2006 / 4409' electric deer fence / 18.47 acres,Y,2002; 342 sprouting red oak acorns planted in most abused section of clearcut,N, ,2001,1390.873034,74760.85816,24,24,85,76500,22.6646862,23.77820587,1.113519669,22.98425726,0.224225368,1953.661867,22.92552757,23.3191227
25,Y,41,Gilford Duff Farm,"Swamp Tract SW 1, GDF3",Shelterwood 1,Y,2002-2008 / 7250' woven wire deer fence / 18.54 acres,N, ,N, ,2001,2209.580006,75019.10052,25,25,83,74700,22.37836266,23.7262001,1.347837448,23.11772949,0.406413772,1918.771547,23.24472237,23.60002747
26,N,42,Snake Hill,"Skunk SW Prep, SNKHLL37",Shelterwood Prep,N, ,N, ,N, ,2002,1508.759013,65829.52783,26,26,76,68400,22.90552521,23.5167942,0.611268997,23.26412259,0.173029437,1768.073317,23.32159996,23.44395924
27,N,43,Standing Stone West,"Broken Arrow SW Prep, SSW16",Shelterwood Prep,N, ,N, ,Y, ,2002,1556.038839,92277.35787,27,27,102,91800,22.85835457,23.23751259,0.37915802,22.9807223,0.083418232,2344.033674,22.96746635,23.10279274
28,N,44,Standing Stone East,"Iron Wheel SW Prep, SSE01",Shelterwood Prep,N, ,N, ,Y, ,2002,1072.403965,37906.59711,28,28,45,40500,22.9998703,23.37578011,0.375909805,23.16200553,0.099380824,1042.290249,23.15321541,23.2987709
29,N,45,Shaver Creek,"Xi Sigma Pi Red Pine Plantation Cut, SHCRK102",Clearcut,Y,2002-(still up in 2013),Y,(1) 2003; unknown # of American chestnut planted / (2) 2003; cover crop planted in spring,Y,(1 & 2) 2008 & 2009; Fenceline herbicide from ATV to control vegetation and make future fence removal easier,2001,469.8091104,12951.90744,29,29,13,11700,23.36864281,23.73395538,0.365312576,23.56080862,0.11617462,306.2905121,23.55629158,23.69526558
30,Y,46,Standing Stone East,"Refrigerator Valley SW Prep, SSE39",Shelterwood Prep,N, ,N, ,Y, ,2002,1200.302419,54160.13408,30,30,61,54900,22.910326,23.57335663,0.663030624,23.26382062,0.114863531,1419.093058,23.25969887,23.36589432
31,N,47,Standing Stone West,"Powerline SW Prep, SSW20",Shelterwood Prep,N, ,N, ,Y, ,2002,589.7462806,15271.74697,31,31,17,15300,24.36267281,27.28373146,2.921058655,25.66907546,1.023143174,436.3742828,25.40412712,27.09901237
32,N,50,Gilford Duff Farm,"Bear Sale SW 1, GDF14",Shelterwood 1,N, ,N, ,N, ,2000,1332.978358,70040.60269,32,32,78,70200,22.27618408,22.87086105,0.594676971,22.46801102,0.120137419,1752.50486,22.43311501,22.6016861
33,N,51,Gilford Duff Farm,"Sassafras Hill SW1, GDF56",Shelterwood 1,Y,1998-2003 / unknown length deer fence / 8.53 acres,N, ,N, ,2002,740.6306522,34510.39524,33,33,38,34200,22.45563316,22.8112278,0.355594635,22.59393371,0.100871883,858.5694809,22.57264614,22.74941025
34,N,60,Camps,"Red Rose Rd Mowing of Clearcut (Border of CPS/MF), CPS47",Mow,N, ,N, ,N, ,2003,930.4063399,43980.27736,34,34,50,45000,22.67701149,23.55397034,0.876958847,22.88867371,0.223903402,1144.433685,22.79638863,23.20557766
35,N,61,Standing Stone West,"Barn Clearcut, SSW50",Clearcut,Y,2003-2009 / 2560' woven wire deer fence / 8.9 acres,N, ,Y,(1 & 2) 2008 & 2009; Fenceline herbicide from ATV to control vegetation and make future fence removal easier,2003,793.0295779,36189.35689,35,35,41,36900,23.03943825,23.52660751,0.487169266,23.19501905,0.138731626,950.9957809,23.1310463,23.44515038
36,Y,64,Standing Stone East,"McDillSimmons Biomass Research Cut Site 1 southern site, SSE66, 71, 74,75",Clearcut,Y,2009-still present in 2013 / 5439' woven wire deer fence / 25.52 acres,Y,2009; 3560 bareroot hardwood 1-0 seedlings hand planted 3/26 on 8.5 acres of the Southern Biomass Research Treatment,Y,2009; Fenceline herbicide from ATV to control vegetation and make future fence removal easier,2008,1687.780692,99673.33587,36,36,111,99900,22.63977623,23.4624939,0.822717667,22.98112797,0.207574911,2550.905205,22.95259285,23.27205658
37,N,66,Camps,"Red Rose Rd Clearcut, CPS47, 05",Clearcut,Y,2001-2009 / 3047' woven wire deer fence / 10.87 acres (see Deer_Exclosures layer for actual fenced part),Y,"ArcMap layer, no details on what was planted or when.",Y, 2008; Fenceline herbicide from ATV to control vegetation and make future fence removal easier,2000,1662.556011,113667.8023,37,37,126,113400,22.56023407,23.78578186,1.225547791,22.93100931,0.267761254,2889.307173,22.87955475,23.31184196
38,N,67,Snake Hill,"Red Pine Clearcut  5 Pt CC, SNKHLL04",Clearcut,N, ,Y,"ArcMap layer, no details on what was planted or when.",N, ,2002,357.4889722,7988.448456,38,38,8,7200,23.49205017,23.61283875,0.120788574,23.56199694,0.034942134,188.4959755,23.56722546,23.59557266
39,N,79,Standing Stone West,"Phelps American Chestnut Research Cut, SSW08",Clearcut,Y,1997-2008 / 1700' electric deer fence / 4.44 acres,Y,no date; Chestnut research planting on 3 acres within this ~75 acre stand.,N, ,2003,510.6112344,17977.15401,39,39,21,18900,22.46559334,22.68208313,0.216489792,22.58600317,0.063253792,474.3060665,22.60749245,22.64973259
40,N,80,Gilford Duff Farm,"Wounded Tree Clearcut , GDF29",Clearcut,N, ,Y,2007; 19000 loblolly pine seedlings were planted on 5/1,Y,(1) 2006; Aerial spray of loblolly seedlings for stiltgrass / (2) 2008; Aerial spray of loblolly seedlings for stiltgrass,2006,481.3029139,11248.69078,40,40,13,11700,22.65979385,22.99744797,0.337654114,22.77982022,0.101604794,296.1376629,22.74929428,22.90916443
41,N,81,Masseyburg/Leading Ridge,"Double Block CC  LK26, LR01 (aka ""LR_DBL_BLOCK"", ""LK_DBL_BLOCK"")",Clearcut,N, ,Y, ,Y, ,2004,1372.27553,81703.57835,41,41,91,81900,22.91817665,23.92825508,1.01007843,23.15807978,0.20043342,2107.38526,23.09413147,23.44523811
42,N,82,Monroe Furnace,"Rybacki Road SW 1, MNFN69",Shelterwood 1,Y,2000-2007 / 7100' eclectric deer fence / 42 acres,N, ,Y,~2000; prior to SW1,2000,2061.00582,169965.6376,42,42,190,171000,22.4256382,23.39820099,0.97256279,22.85733448,0.167157656,4342.893551,22.89056301,23.0172451
43,Y,85,Shaver Creek,"Knob Final Removal SW FR, SHCRK29, 35",Shelterwood FR,N, ,N, ,N, ,2005,1571.703265,94167.39272,43,43,104,93600,22.80867958,26.24484062,3.436161041,23.47319656,0.729950763,2441.212442,23.23996353,24.38799629
44,N,86,Monroe Furnace,"Rybacki SW FR, MNFN69",Shelterwood FR,N, ,N, ,N, ,2008,2061.00582,169965.6376,44,44,190,171000,22.4256382,23.39820099,0.97256279,22.85733448,0.167157656,4342.893551,22.89056301,23.0172451
45,Y,90,Gilford Duff Farm,"Swamp SW Final Removal , GDF3",Shelterwood FR,N, ,N, ,N, ,2008,2209.580006,75019.10052,45,45,83,74700,22.37836266,23.7262001,1.347837448,23.11772949,0.406413772,1918.771547,23.24472237,23.60002747
46,Y,91,Snake Hill,"Skunk Tract SW 1, SNKHLL37",Shelterwood 1,Y,2003-2009 / 4887' woven wire deer fence / 16.27 acres,N, ,Y,2008; Fenceline herbicide from ATV to control vegetation and make future fence removal easier,2002,1508.759013,65829.52783,46,46,76,68400,22.90552521,23.5167942,0.611268997,23.26412259,0.173029437,1768.073317,23.32159996,23.44395924
47,N,92,Standing Stone East,"Iron Wheel SW 1, SSE01",Shelterwood 1,Y,2004-2010 / 3527' deer fence / 9.37 acres,N, ,Y,(1) ~2002; 9.8 acres of undesirable competion basal treated with Garlon 4 / (2 & 3) 2008 & 2009; Fenceline herbicide from ATV to control vegetation and make future fence removal easier,2003,1072.403965,37906.59711,47,47,45,40500,22.9998703,23.37578011,0.375909805,23.16200553,0.099380824,1042.290249,23.15321541,23.2987709
48,Y,93,Standing Stone East,"Refrigerator Valley SW 1, SSE39",Shelterwood 1,Y,2004-2009 / 3950' woven wire deer fence / 13.38 acres,N, ,Y,"(1) 2002; prior to SW1, 12.33 Acres of undersirable competition basal treated with Garlon 4 with mineral oil; backpack sprayers with 2 man crew; Ostrya, Birch; single stem / (2) 2002; Fenceline herbicide prior to fence construction  (3) 2008; Fenceline h",2003,1200.302419,54160.13408,48,48,61,54900,22.910326,23.57335663,0.663030624,23.26382062,0.114863531,1419.093058,23.25969887,23.36589432
49,N,97,Gilford Duff Farm,"Bear Sale SW FR, GDF14",Shelterwood FR,N, ,N, ,N, ,2001,1332.978358,70040.60269,49,49,78,70200,22.27618408,22.87086105,0.594676971,22.46801102,0.120137419,1752.50486,22.43311501,22.6016861
50,N,98,Gilford Duff Farm,"Sassafras Hill SW2, GDF56",Shelterwood FR,N, ,N, ,N, ,2002,740.6306522,34510.39524,50,50,38,34200,22.45563316,22.8112278,0.355594635,22.59393371,0.100871883,858.5694809,22.57264614,22.74941025
51,N,99,Monroe Furnace,"Soldier Road SW FR (NE half), MNFN110",Shelterwood FR,N, ,N, ,N, ,2000,1325.767762,37547.16542,51,51,41,36900,22.41315269,22.93515778,0.522005081,22.71465702,0.148996023,931.3009377,22.76633453,22.86072731
52,N,103,Gilford Duff Farm,"Yellow Hickory Shelterwod FR, GDF2",Shelterwood FR,Y,2003-2010 / 3740' woven wire deer fence / 11.07 acres,Y,2007; 600 unspecified hardwoods,Y,"(1) no date; Unspecificed herbicide (noted in ""Final Yellow Hickory SW Sale Expenses and Revenues"") / (2 & 3) 2008 & 2009; Fenceline herbicide from ATV to control vegetation and make future fence removal easier",2006,1140.540069,44812.2479,52,52,51,45900,22.57013893,23.14601326,0.575874329,22.80813528,0.135862601,1163.214899,22.78644943,22.96999931
53,N,111,Standing Stone West,"White Birch Clear Cut, SSW22",Clearcut,N, ,N, ,N, ,2008,727.4522234,29550.34131,53,53,31,27900,23.3116703,26.48970604,3.178035736,24.24093228,0.809314763,751.4689007,23.90839577,25.32395363
54,N,114,Monroe Furnace,"Dr. Margot Kaye Ecology Clearcut , MNFN114",Clearcut,Y,2007-2011 / unknown length deer fence / unknown acres,N, ,N, ,2007,630.3280105,22136.10786,54,54,24,21600,22.67191887,23.36368561,0.691766739,22.94976711,0.191378967,550.7944107,22.92900848,23.22627392
55,N,115,Masseyburg,"Grove Lake 11  Locust Salvage, LK11",Salvage,N, ,N, ,N, ,2005,924.6472334,42836.67626,55,55,47,42300,23.41310501,26.39359283,2.980487823,24.40002283,0.796791607,1146.801073,24.18604088,25.63634186
56,Y,117,Masseyburg,"Phranton Run  Seed Tree First Harvest, MAS106",Seed Tree,N, ,Y,2007; 1000 3-0 bare root white pine seedlings planted on 5/1,Y,(1) 2005; Stand invaded with Tree of Heaven and Japanese Stilt Grass. TOH basally treated with Garlon 4 while the Japanese Stilt Grass will be treated pre-emergent with Oust XP via backpack powered sprayer / (2) 2009; 12 ounces of Oust XP over understory,2005,565.7816425,22326.93704,56,56,23,20700,22.60749626,22.8758049,0.26830864,22.73258267,0.079667881,522.8494015,22.72921181,22.85145264
57,N,123,Standing Stone West,"Broken Arrow SW Sale, SSW16",Shelterwood 1,Y,2003-2008 / 5105' woven wire deer fence / 22.8 acres,N, ,Y,2002; 26 acres (combined acreage of SSW16 & SSW20) of undesireable competition basal treated with Garlon 4 (probably before the SW1?),2002,1556.039245,92277.42758,57,57,99,89100,22.85835457,23.23751259,0.37915802,22.9794739,0.082585219,2274.967916,22.96752357,23.0959301
58,N,124,Standing Stone West,"Broken Arrow SW FR, SSW16",Shelterwood FR,N, ,N, ,Y, ,2009,1556.039245,92277.42758,58,58,99,89100,22.85835457,23.23751259,0.37915802,22.9794739,0.082585219,2274.967916,22.96752357,23.0959301
59,N,125,Standing Stone West,"Powerline SW Sale, SSW20",Shelterwood 1,Y,2003-2008 / 1934' woven wire deer fence / 3.77 acres,N, ,Y,2002; 26 acres (combined acreage of SSW16 & SSW20) of undesireable competition basal treated with Garlon 4 (probably before the SW1?),2002,589.7462576,15271.7455,59,59,17,15300,24.36267281,27.28373146,2.921058655,25.66907546,1.023143174,436.3742828,25.40412712,27.09901237
60,N,126,Standing Stone West,"Powerline SW FR, SSW20",Shelterwood FR,N, ,N, ,Y, ,2009,589.7462576,15271.7455,60,60,17,15300,24.36267281,27.28373146,2.921058655,25.66907546,1.023143174,436.3742828,25.40412712,27.09901237
61,N,132,Gilford Duff Farm,"Yellow Hickory SW Prep, GDF2",Shelterwood Prep,N, ,N, ,N, ,2002,1140.540069,44812.2479,61,61,51,45900,22.57013893,23.14601326,0.575874329,22.80813528,0.135862601,1163.214899,22.78644943,22.96999931
62,N,145,Standing Stone West,"Hardwood thinning (Barn), SSW50",Thinning,N, ,N, ,N, ,2003,793.0295779,36189.35689,62,62,41,36900,23.03943825,23.52660751,0.487169266,23.19501905,0.138731626,950.9957809,23.1310463,23.44515038
63,N,118,Masseyburg,"Pawling Prop, MAS160",Single Tree,N, ,N, ,N, ,2003,258.2455199,3323.516469,63,63,3,2700,23.13126945,23.42308044,0.291810989,23.27225876,0.119334041,69.81677628,23.26242638,23.39094963
64,N,119,Masseyburg,"Pawling Prop, MAS160",Single Tree,N, ,N, ,N, ,2003,197.3412662,3038.09636,64,64,3,2700,23.61066055,23.73392296,0.123262405,23.68214099,0.052213837,71.04642296,23.70183945,23.72750626
65,N,120,Masseyburg,"Pawling Prop, MAS160",Single Tree,N, ,N, ,N, ,2003,226.7879347,2111.21036,65,65,2,1800,23.39086723,23.50693512,0.116067886,23.44890118,0.058033943,46.89780235,23.44890118,23.49532833
66,N,121,Masseyburg,"Pawling Prop, MAS109",Single Tree,N, ,N, ,N, ,2003,124.3820503,1104.085495,66,66,1,900,23.4353981,23.4353981,0,23.4353981,0,23.4353981,23.4353981,23.4353981
67,N,122,Masseyburg,"Pawling Prop, MAS160",Single Tree,N, ,N, ,N, ,2003,97.15340592,677.9351979,67,68,126,113400,22.99984741,25.57203293,2.572185516,23.49283326,0.433398601,2960.096991,23.42046642,23.97626114
68,N,0,Standing Stone West,"Salvage, SSW50",Salvage,N, ,N, ,N, ,2002,1997.026082,113375.5908,68,69,103,92700,22.85835457,23.23751259,0.37915802,22.98117084,0.083135815,2367.060596,22.96752357,23.10181236
69,N,0,Standing Stone West,"Broken Arrow Salvage, SSW16",Salvage,N, ,N, ,N, ,2003,1565.593188,93733.48344,69,70,65,58500,22.46305275,23.89868927,1.43563652,22.85667684,0.277410586,1485.683994,22.81376839,23.22861519
70,N,0,Standing Stone West,"Thinning II, SSW09",Thinning,N, ,N, ,N, ,2003,1007.762452,58827.92618,70,71,51,45900,22.7195797,23.20541191,0.485832214,22.91718472,0.132365047,1168.776421,22.91079903,23.08408737
71,N,0,Gilford Duff Farm,"Wounded Tree Clearcut , GDF29",Clearcut,N, ,Y,2007; 19000 loblolly pine seedlings were planted on 5/1,Y,(1) 2006; Aerial spray of loblolly seedlings for stiltgrass / (2) 2008; Aerial spray of loblolly seedlings for stiltgrass,2006,1118.257572,44469.94862,71,72,85,76500,22.6646862,23.77820587,1.113519669,22.98425726,0.224225368,1953.661867,22.92552757,23.3191227
72,N,40,Masseyburg,"Sapling removal at the Virginia and Table Mountain Pine CC, MAS109",Cleanup,N, ,N, ,N, ,2001,1390.873034,74760.85816,72,73,47,42300,23.41310501,26.39359283,2.980487823,24.40002283,0.796791607,1146.801073,24.18604088,25.63634186
73,N,115,Masseyburg,"Black Walnut Veneer Select Cut, LK11",Thinning,N, ,N, ,N, ,2002,924.6472334,42836.67626,,,,,,,,,,,,
